cast,revenue,movies,return
 Hlubi Mboya,0.0,1,0.0
"""Weird Al"" Yankovic",169310242.0,4,2.7238831208333334
'Big Jack' Provan,0.0,1,0.0
'Evil' Ted Smith,0.0,1,0.0
'Hurricane Ryu' Hariken,0.0,1,0.0
'Little Man' Machan,0.0,1,0.0
'Wild Bill' Laczko,34000000.0,1,9.714285714285714
A Martinez,0.0,1,0.0
A. Frank Ruffo,10629321.0,1,1.328665125
A. J. Benza,155721132.0,1,6.4883805
A. J. Langer,42277365.0,1,0.8455473
A. Madeline Smith,0.0,1,0.0
A. Michael Baldwin,19271320.0,4,10.597295083333332
A.J. Adelman,890871626.0,1,3.4529907984496124
A.J. Cook,90426405.0,2,1.7389693269230768
A.J. Johnson,257991150.0,2,9.01276693548387
A.J. Riebli III,631442092.0,1,6.863501
A.J. Sexton,1047338430.0,2,4.3503927387272725
A.J. Verel,385680446.0,1,2.5712029733333335
A.S. Byron,0.0,1,0.0
A.k. Steppa,334901337.0,1,3.7211259666666665
AJ Bowen,52604.0,2,0.0105208
Aakomon Jones,402856620.0,2,8.34966293306288
Aaliyah,45479110.0,1,1.2994031428571429
Aaran Thomas,82169884.0,1,1.64339768
Aarif Lee,0.0,1,0.0
Aaron 'Deuce' Cooke,159291809.0,1,5.309726966666667
Aaron Abrams,129394835.0,1,2.875440777777778
Aaron Berg,10629321.0,1,1.328665125
Aaron Brumfield,125729635.0,1,3.143240875
Aaron Cohen,171539887.0,1,4.288497175
Aaron Cortesi,75505973.0,1,2.5168657666666667
Aaron Craig,351692268.0,1,4.042439862068965
Aaron Douglas,646558263.0,6,2.8876507266150515
Aaron Eckhart,1371338531.0,3,3.7198842374302874
Aaron Egawa,415484914.0,1,3.4623742833333333
Aaron Freeman,21134374.0,1,0.0
Aaron Harrison,0.0,1,0.0
Aaron Hayes,1153304495.0,1,4.61321798
Aaron Helferich,0.0,1,0.0
Aaron Himelstein,2416825697.0,3,4.6442081730936815
Aaron Hotch,34793160.0,1,2.4852257142857144
Aaron Hughes,0.0,1,0.0
Aaron J. Patton,183293131.0,1,7.049735807692308
Aaron James Cash,0.0,1,0.0
Aaron Jeffery,373062864.0,1,2.48708576
Aaron King,586090727.0,1,2.930453635
Aaron Kischnick,169837010.0,1,4.24592525
Aaron Kwok,0.0,2,0.0
Aaron Lilly,214034224.0,1,3.567237066666667
Aaron Lipstadt,0.0,1,0.0
Aaron Lohr,22955097.0,1,0.0
Aaron Lustig,96941937.0,3,1.6591479249999999
Aaron Ly,334901337.0,1,3.7211259666666665
Aaron Lynch,385680446.0,1,2.5712029733333335
Aaron Matthews,616801808.0,1,6.358781525773196
Aaron McPherson,65569869.0,2,1.639246725
Aaron Murphy,67192859.0,1,3.35964295
Aaron Paul,397850012.0,1,2.6523334133333334
Aaron Pressburg,0.0,1,0.0
Aaron Saxton,673309784.0,2,5.077310091538462
Aaron Schwartz,863416141.0,1,4.317080705
Aaron Sequerah,334901337.0,1,3.7211259666666665
Aaron Smolinski,300218018.0,1,5.458509418181818
Aaron Spann,109862682.0,1,5.4931341
Aaron Stanford,936694817.0,3,3.5118253154401153
Aaron Strong,415484914.0,1,3.4623742833333333
Aaron Taylor-Johnson,2365382656.0,6,2.76557550022409
Aaron Thell Smith,17917287.0,1,1.3782528461538461
Aaron Toney,1553367258.0,2,3.4832641752941176
Aaron Tyler,389681935.0,1,2.3617086969696968
Aaron V. Williamson,440603537.0,1,2.842603464516129
Aaron Yoo,91379051.0,1,4.809423736842105
Aaron Zell,217022588.0,1,3.1915086470588236
Aarón Hernán,0.0,1,0.0
Aashish Chaudhary,0.0,2,0.0
Aasif Mandvi,783766341.0,1,3.918831705
Aason Nadjiwan,86165646.0,1,1.9147921333333333
Aatash Amir,783112979.0,1,13.501947913793103
Aba Koïta,107944236.0,1,1.255165534883721
Abanoub Andraous,543934787.0,1,3.0558134101123597
Abbey Blake,0.0,1,0.0
Abbey Ferrell,325771424.0,1,6.786904666666667
Abbey Lee,378858340.0,1,2.5257222666666665
Abbey Skinner,890871626.0,1,3.4529907984496124
Abbey-May Wakefield,75505973.0,1,2.5168657666666667
Abbi Jacobson,108758521.0,1,3.1073863142857143
Abbie Cornish,316926528.0,2,1.6860909571969698
Abbie Dunn,829000000.0,1,6.908333333333333
Abbie McCann,644571402.0,1,3.7915964823529413
Abby Dalton,0.0,1,0.0
Abby Elliott,477200000.0,1,3.8176
Abby Ryder Fortson,519311965.0,1,3.9947074230769233
Abby Walker,0.0,1,0.0
Abdallah Helal,0.0,1,0.0
Abdelahk Lazali,0.0,1,0.0
Abdellah Lamrani,0.0,1,0.0
Abderrahim El Aadili,415885488.0,1,5.1985686
Abderrahman Paco,0.0,1,0.0
Abdoulaye N'Gom,358991681.0,2,9.971991138888889
Abdul Salaam El Razzac,520000000.0,1,5.2
Abdulla Hamam,543934787.0,1,3.0558134101123597
Abe Temba,0.0,1,0.0
Abe Vigoda,622304716.0,5,16.98088838974359
Abel Hofflin,378858340.0,1,2.5257222666666665
Abhi Sinha,320170008.0,1,8.0042502
Abhishek Bachchan,58396427.0,3,4.072619
Abi Adeyemi,809342332.0,1,4.496346288888889
Abidemi Sobande,773328629.0,1,4.548991935294118
Abigail Bianca,22165608.0,1,1.1082804
Abigail Breslin,279725899.0,5,2.4250357416666666
Abigail Gamache,169837010.0,1,4.24592525
Abigail Hargrove,531865000.0,1,2.659325
Abigail Klein,1091405097.0,1,5.1971671285714285
Abigail Kuklis,873260194.0,1,3.493040776
Abigail Marlowe,714766572.0,1,4.204509247058824
Abigail Mavity,0.0,1,0.0
Abigail Rich,415484914.0,1,3.4623742833333333
Abigale Corrigan,0.0,1,0.0
Abigayle Honeywill,809342332.0,1,4.496346288888889
Abishek J. Bajaj,0.0,1,0.0
Abner Biberman,0.0,1,0.0
Abraham Benrubi,48063435.0,4,0.48063435
Abraham Verduzco,25405445.0,1,3.6293492857142855
Ace Marrero,124827316.0,1,3.1206829
Ace Mask,192816.0,3,0.0
Aclan Büyüktürkoğlu,376141306.0,1,8.358695688888888
Acquanetta,0.0,2,0.0
Actor Sergio Kato,40697761.0,1,0.0
Ada Gales,0.0,1,0.0
Ada Nicodemou,463517383.0,1,7.357418777777778
Ada-Nicole Sanger,246984278.0,1,3.087303475
Adah Sharma,0.0,1,0.0
Adair Tishler,0.0,1,0.0
Adam Allfrey,38629478.0,1,0.5518496857142857
Adam Arkin,111912152.0,2,2.6720304618736384
Adam Baldwin,874089586.0,2,6.262466329523809
Adam Bareham,572700000.0,1,17.7032457496136
Adam Beach,96887944.0,3,0.8276474068424357
Adam Biesk,2260622.0,1,1.130311
Adam Bloch,0.0,1,0.0
Adam Boyer,39421467.0,1,2.6280978
Adam Brody,634041214.0,3,5.736118806944444
Adam Brown,2935523356.0,3,3.9140311413333335
Adam Burton,299370084.0,1,1.7610004941176471
Adam Cantor,118587880.0,1,11.858788
Adam Carl,78000000.0,1,3.12
Adam Carolla,471222889.0,2,1.4279481484848484
Adam Cockburn,36230219.0,1,2.9442242316722336
Adam Deacon,165000.0,1,0.1659959758551308
Adam Devine,1391543442.0,5,7.877513586558486
Adam Deyoe,0.0,1,0.0
Adam Driver,2068223624.0,1,8.44172907755102
Adam Eget,0.0,1,0.0
Adam Faraizl,45681173.0,1,1.3051763714285713
Adam Ferrara,183293131.0,1,7.049735807692308
