name,id
Howard Deutch,15602
Charles Shyer,11862
Martin Campbell,710
Simon Wells,21032
Steve Oedekerk,9273
Barry Sonnenfeld,8012
Chris Noonan,9598
Paul W.S. Anderson,9312
Mike Gabriel,10530
Eric Goldberg,10530
Farhad Mann,11525
F. Gary Gray,10634
Robert Rodriguez,755
Christian Duguay,9102
Brian Henson,10874
Peter MacDonald,27793
Michael Bay,9737
Joel Schumacher,414
Paul Auster,5894
Wayne Wang,5894
Brad Silberling,8839
Robert Rodriguez,8068
John McTiernan,1572
Gregg Araki,13552
Dwight H. Little,9073
Bryan Spicer,9070
Irwin Winkler,1642
Gregory Widen,11980
Paul Verhoeven,10802
Wayne Wang,10149
Paul Auster,10149
Roger Donaldson,9348
Geoff Murphy,3512
Nikita Mikhalkov,50797
Richard Linklater,76
Kevin Smith,2292
Peter Farrelly,8467
Bobby Farrelly,8467
Kevin Lima,15789
Paul Brizzi,15789
Neil Jordan,628
George Lucas,11
Albert Pyun,63105
Lee Tamahori,527
Anne Goursaud,18220
Richard Rich,22586
John Pasquin,11395
Ernest R. Dickerson,9059
David Carson,193
Tom Shadyac,3049
Phillip Noyce,9331
Alex Proyas,9495
Brian Levant,888
Roger Allers,8587
Rob Minkoff,8587
Wes Craven,11596
Chuck Russell,854
Peter Segal,36593
Donald Petrie,11011
Jan de Bont,1637
Peter Hyams,8831
Steven E. de Souza,11667
Vincent Robert,75555
Andrew Morahan,8011
Barry Sonnenfeld,2758
John Badham,9409
Simon Wincer,1634
Andrew Davis,5503
John Woo,2019
Jim Abrahams,9255
Eric Meza,16097
Steven Spielberg,329
Christopher Cain,11231
Fred Dekker,5550
Agnieszka Holland,11236
Russell Mulcahy,8850
Ridley Scott,78
Chris Columbus,771
Ron Clements,812
John Musker,812
James Cameron,280
Tim Burton,268
Jonathan Demme,274
Gary Trousdale,10020
Kirk Wise,10020
Bill Condon,10824
David R. Ellis,25059
Gerald Potterton,11827
Kevin Yagher,8766
Joe Chappelle,8766
Paul Sabella,19042
Larry Leker,19042
Brian De Palma,954
Rob Cohen,8840
Alan Mehrez,25087
Jean-Luc Godard,8072
Jean-Marie Poiré,11687
Mamoru Oshii,9323
Nick Park,532
David Twohy,10547
Djibril Diop Mambéty,77771
Danny Boyle,627
Roland Emmerich,602
Tom Shadyac,9327
Arlene Sanford,12606
Tim Pope,10546
John Carpenter,10061
Francis Ford Coppola,238
Stanley Tong,11134
Stanley Tong,38955
Joe Chappelle,10987
Stanley Kubrick,62
W.S. Van Dyke,3529
George A. Romero,10331
Robert Lieberman,10680
Norman Tokar,18660
Norman Foster,35115
John Hough,14821
Robert Stevenson,14136
Robert Stevenson,10869
Charles Barton,15944
Clyde Geronimi,11224
Wilfred Jackson,11224
Hamilton Luske,11224
Ted Berman,10948
Art Stevens,10948
Richard Rich,10948
Matthew Bright,11229
John McTiernan,562
Brett Leonard,10163
Tad Stones,11238
Emile Ardolino,88
Ted Kotcheff,8491
Paul Verhoeven,402
Greg Spence,25750
John Carpenter,1103
Joe Dante,11298
Nick Park,531
Lou Adler,11455
Irvin Kershner,1891
